제목,관객수,날짜
남산의 부장들,475,2020.01.22
다만 악에서 구하소서,435,2020.10.28
반도,381,2020.07.15
히트맨,240,2020.01.22
테넷,200,2020.08.26
백두산,825,2019.12.19
#살아있다,190,2020.06.24
강철비2: 정상회담,179,2020.09.30
담보,171,2020.09.29
닥터 두리틀,160,2020.01.08
모가디슈,361,2022.09.07
이터널스,305,2021.11.03
블랙 위도우,296,2021.07.07
분노의 질주: 더 얼티메이트,229,2021.05.19
싱크홀,219,2021.08.11
극장판 귀멸의 칼날: 무한열차편,218,2022.04.21
베놈 2: 렛 데어 비 카니지,212,2021.10.13
소울,204,2021.01.20
크루엘라,198,2021.05.26
샹치와 텐 링즈의 전설,174,2021.09.01
범죄도시2,1269,2022.05.18
탑건: 매버릭,823,2022.06.22
아바타: 물의 길,1080,2022.12.14
한산: 용의 출현,726,2022.07.27
공조2: 인터내셔날,698,2022.09.07
닥터 스트레인지: 대혼돈의 멀티버스,588,2022.05.04
헌트,435,2022.08.10
올빼미,332,2022.11.23
쥬라기 월드: 도미니언,283,2022.06.01
마녀(魔女) Part2. The Other One,280,2022.06.15
서울의 봄,1312,2023.11.22
범죄도시3,1068,2023.05.31
엘리멘탈,724,2023.06.14
스즈메의 문단속,557,2024.01.10
밀수,514,2023.07.26
더 퍼스트 슬램덩크,488,2023.01.04
가디언즈 오브 갤럭시: Volume 3,420,2023.05.03
미션 임파서블: 데드 레코닝 PART ONE,402,2023.07.12
콘크리트 유토피아,384,2023.08.09
아바타: 물의 길,1080,2022.12.14
