순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,삼성전자,16.85%,"57,800",상승100,+0.17%,"9,406,310","57,500","58,200","57,100",14.13,4.15
2,SK하이닉스,3.81%,"191,700","상승3,900",+2.08%,"1,074,984","188,500","192,300","188,000",55.86,-15.61
3,유한양행,3.52%,"145,200","하락8,800",-5.71%,"1,625,706","154,100","155,500","144,100",78.83,6.74
4,태성,2.65%,"33,400","상승2,200",+7.05%,"1,723,316","33,150","38,800","32,300",402.41,-4.48
5,YG PLUS,2.10%,"4,830",상승310,+6.86%,"16,742,826","4,980","5,170","4,530",47.35,14.12
6,한일단조,2.09%,"3,430",상승475,+16.07%,"54,166,984","3,030","3,685","2,975",23.33,6.46
7,네이처셀,1.97%,"10,580","상승1,490",+16.39%,"3,733,089","9,430","11,260","9,300",-120.23,-19.70
8,두산에너빌리티,1.86%,"20,100",하락550,-2.66%,"3,445,405","20,650","20,800","19,960",81.05,0.78
9,현대차,1.73%,"240,500","상승6,000",+2.56%,"300,327","236,500","241,000","234,000",5.21,13.68
10,한켐,1.58%,"21,400","하락1,400",-6.14%,"4,214,541","22,450","25,250","21,250",N/A,24.14
11,HLB,1.43%,"66,700","하락2,600",-3.75%,"481,686","69,100","69,600","66,500",-41.10,-32.55
12,기아,1.38%,"93,000",상승500,+0.54%,"883,092","92,000","93,000","91,100",3.89,20.44
13,한미반도체,1.32%,"100,300","상승1,500",+1.52%,"446,719","98,800","101,800","98,800",61.84,55.54
14,동서,1.30%,"21,600","하락3,700",-14.62%,"1,424,606","23,200","23,700","21,350",12.95,9.23
15,LG에너지솔루션,1.18%,"387,000","상승5,500",+1.44%,"108,854","381,500","394,000","381,500",-539.00,6.36
16,알테오젠,1.14%,"372,500","하락11,000",-2.87%,"250,480","380,000","383,500","368,000","-15,520.80",-2.27
17,현대로템,1.12%,"66,300",상승200,+0.30%,"684,911","66,300","67,100","65,000",29.45,10.06
18,펩트론,1.11%,"86,900","하락6,000",-6.46%,"711,354","92,000","94,300","86,000",-94.35,-35.69
19,루미르,1.11%,"12,280",하락280,-2.23%,"4,319,830","13,170","13,670","12,110",-28.96,-24.89
20,SG,1.10%,"3,055",상승180,+6.26%,"21,820,741","3,070","3,310","2,960",-6.27,-47.71
21,셀트리온,1.10%,"185,300","하락2,200",-1.17%,"228,344","187,900","189,600","184,600",104.69,5.07
22,에코프로비엠,1.07%,"156,000",하락700,-0.45%,"152,266","156,200","159,100","155,000",-97.08,-0.64
23,POSCO홀딩스,1.06%,"332,500","상승1,000",+0.30%,"77,589","331,000","336,000","330,500",20.79,3.18
24,LG전자,1.04%,"99,700","상승3,400",+3.53%,"379,795","97,200","100,300","97,200",16.19,3.69
25,카카오,1.03%,"37,400",상승50,+0.13%,"377,100","37,750","37,950","37,050",-17.10,-10.26
26,한국파마,0.99%,"21,850","상승1,800",+8.98%,"2,675,279","22,500","24,650","21,600",79.45,0.13
27,NAVER,0.97%,"171,800",상승600,+0.35%,"200,295","172,000","173,400","170,800",18.20,4.41
28,이수페타시스,0.96%,"45,350","상승1,850",+4.25%,"2,041,717","43,600","46,400","43,500",51.19,19.51
29,한화에어로스페이스,0.96%,"378,500","하락7,000",-1.82%,"112,721","385,000","388,000","376,500",68.53,25.60
30,삼성바이오로직스,0.95%,"1,065,000","상승6,000",+0.57%,"45,199","1,070,000","1,095,000","1,059,000",73.71,9.12
